time, itow, lat, lon, alt, speed, accuracy
5.556,575208900,49.3289722,8.5657605,157.8400791,1.649,855.07
5.656,575209014,49.3289712,8.565762,161.8783507,0.842,711.502
5.756,575209114,49.3289457,8.5657733,160.4102265,-0.372,707.622
5.856,575209224,49.328948,8.5657246,158.2705095,2.103,732.063
5.956,575209322,49.3290304,8.5657288,126.7861801,12.439,750.594
6.056,575209449,49.3290106,8.5657401,127.511572,-1.533,279.943
6.156,575209543,49.3290207,8.5657078,137.8940021,1.205,340.489
6.256,575209643,49.3290233,8.5657016,147.7226148,1.024,319.606
6.356,575209742,49.3290094,8.5657018,159.3106492,1.087,301.534
6.456,575209844,49.3289939,8.5656955,169.1908416,1.004,285.339
6.556,575209944,49.3289809,8.5656896,175.9922151,0.866,271.66
6.656,575210044,49.3289713,8.5656896,181.6242406,0.747,259.57
6.756,575210147,49.3289674,8.5656901,185.9200791,0.658,195.272
6.856,575210246,49.3289658,8.5656848,187.2582233,0.579,104.673
6.956,575210340,49.3289643,8.5656774,187.0080852,0.542,63.096
7.056,575210439,49.3289623,8.5656669,185.8302969,0.429,59.338
7.156,575210542,49.3289605,8.5656562,186.0115375,0.317,52.446
7.256,575210634,49.328964,8.5656472,185.4364574,0.368,47.441
7.356,575210734,49.3289719,8.5656357,182.379658,0.339,41.787
7.456,575210834,49.3289751,8.5656247,179.7977178,0.484,38.15
7.556,575210934,49.3289746,8.5656146,177.3015362,0.65,35.219
7.656,575211045,49.328973,8.5656054,175.3189039,0.769,32.798
7.756,575211154,49.3289718,8.5655959,174.0355656,0.738,30.773
7.856,575211236,49.3289697,8.5655886,172.9562174,0.664,29.518
7.956,575211335,49.3289674,8.56558,171.6657855,0.639,28.196
8.056,575211446,49.3289648,8.5655708,170.8767253,0.697,26.902
8.156,575211548,49.3289639,8.5655647,170.6577023,0.796,25.853
8.256,575211646,49.3289645,8.5655618,170.0212083,0.765,24.886
8.356,575211742,49.3289662,8.5655615,169.1732455,0.665,24.01
8.456,575211842,49.3289682,8.5655605,168.5043657,0.559,23.188
8.556,575211946,49.3289704,8.5655588,167.8151788,0.481,22.403
8.656,575212048,49.3289723,8.565558,167.1835844,0.485,21.71
8.756,575212148,49.3289745,8.5655579,166.8089572,0.456,21.095
8.856,575212248,49.3289768,8.5655579,166.5870228,0.43,20.523
8.956,575212348,49.3289792,8.5655578,166.4848151,0.42,20.008
9.056,575212448,49.3289813,8.5655575,166.4186078,0.425,19.488
9.156,575212548,49.3289825,8.5655575,166.3122407,0.431,19.009
9.256,575212648,49.3289845,8.5655574,166.4108704,0.451,18.559
9.356,575212748,49.328987,8.5655562,166.6655252,0.5,18.058
9.456,575212848,49.3289887,8.5655549,166.9040425,0.504,17.577
9.556,575212948,49.32899,8.5655534,167.1633076,0.481,17.142
9.656,575213048,49.3289913,8.565552,167.5440678,0.475,16.746
9.756,575213148,49.328992,8.5655497,168.1501536,0.466,16.394
9.856,575213248,49.3289928,8.5655471,168.8909973,0.475,16.064
9.956,575213348,49.3289939,8.565545,169.5751811,0.492,15.76
10.056,575213448,49.3289946,8.5655429,170.1606639,0.503,15.474
10.156,575213548,49.3289948,8.565541,170.6378793,0.5,15.199
10.256,575213648,49.3289946,8.5655389,171.0065555,0.471,14.934
10.356,575213748,49.3289943,8.565537,171.3456669,0.435,14.678
10.456,575213848,49.328994,8.565535,171.6386547,0.417,14.437
10.556,575213948,49.328994,8.5655328,171.9072016,0.413,14.213
10.656,575214048,49.3289938,8.5655307,172.1093084,0.434,13.998
10.756,575214148,49.3289933,8.5655283,172.260144,0.476,13.787
10.856,575214248,49.3289929,8.5655265,172.439417,0.498,13.586
10.956,575214348,49.3289927,8.5655252,172.5966946,0.496,13.396
11.056,575214448,49.3289926,8.5655239,172.7840029,0.482,13.216
11.156,575214548,49.3289927,8.5655227,173.0174682,0.466,13.047
11.256,575214648,49.3289929,8.5655215,173.2550079,0.443,12.882
11.356,575214748,49.3289931,8.5655204,173.5447214,0.406,12.722
11.456,575214848,49.3289934,8.5655195,173.8159805,0.384,12.567
11.556,575214948,49.3289935,8.5655183,173.9730744,0.389,12.423
11.656,575215048,49.3289934,8.5655172,174.0429012,0.409,12.283
11.756,575215148,49.328993,8.5655161,174.0977309,0.406,12.149
11.856,575215248,49.3289924,8.5655148,174.145144,0.397,12.014
11.956,575215348,49.3289921,8.5655137,174.1935431,0.411,11.872
12.056,575215448,49.3289918,8.5655125,174.2821245,0.409,11.736
12.156,575215548,49.3289914,8.5655115,174.3674677,0.386,11.608
12.256,575215648,49.328991,8.5655104,174.4279166,0.371,11.478
12.356,575215748,49.3289904,8.5655092,174.4926033,0.369,11.352
12.456,575215848,49.3289901,8.5655089,174.3874925,0.378,11.232
12.556,575215948,49.3289902,8.5655097,174.130087,0.388,11.112
12.656,575216048,49.3289902,8.5655105,173.9678037,0.391,10.992
12.756,575216148,49.3289901,8.5655112,173.8328472,0.382,10.877
12.856,575216248,49.32899,8.5655118,173.6656452,0.383,10.767
12.956,575216348,49.32899,8.5655126,173.5037628,0.398,10.656
13.056,575216448,49.3289901,8.5655134,173.3889118,0.398,10.551
13.156,575216548,49.3289903,8.5655139,173.2906705,0.402,10.452
13.256,575216648,49.3289905,8.5655141,173.228085,0.394,10.352
13.356,575216748,49.3289904,8.5655143,173.1916257,0.368,10.258
13.456,575216848,49.3289906,8.5655144,173.1928513,0.357,10.163
13.556,575216947,49.328991,8.5655144,173.1901184,0.343,10.067
13.656,575217046,49.3289915,8.5655141,173.1380583,0.368,9.978
13.756,575217147,49.3289919,8.565514,173.119102,0.392,9.888
13.856,575217247,49.3289921,8.5655138,173.0846756,0.373,9.798
13.956,575217347,49.3289921,8.5655133,173.0518292,0.357,9.706
14.056,575217447,49.3289923,8.5655132,173.0876653,0.339,9.621
14.156,575217547,49.3289928,8.5655131,173.1099847,0.349,9.536
14.256,575217647,49.3289931,8.5655127,173.0888213,0.365,9.451
14.356,575217747,49.3289936,8.5655125,173.0935928,0.37,9.372
14.456,575217847,49.3289942,8.5655122,173.1217876,0.385,9.292
14.556,575217948,49.3289948,8.5655122,173.1431114,0.395,9.217
14.656,575218049,49.328995,8.5655122,173.1379068,0.374,9.142
14.756,575218149,49.3289952,8.5655123,173.146542,0.348,9.066
14.856,575218249,49.3289957,8.5655125,173.0920046,0.368,8.996
14.956,575218349,49.3289959,8.5655123,172.9421252,0.399,8.926
15.056,575218449,49.3289957,8.5655119,172.7877855,0.401,8.856
15.156,575218549,49.3289953,8.5655115,172.6441931,0.385,8.786
15.256,575218649,49.3289952,8.565511,172.5465684,0.38,8.716
15.356,575218749,49.3289952,8.5655106,172.4504551,0.384,8.644
15.456,575218849,49.3289952,8.5655103,172.3368751,0.384,8.579
15.556,575218947,49.3289951,8.5655098,172.2454647,0.384,8.521
15.656,575219046,49.328995,8.5655096,172.1901897,0.369,8.462
15.756,575219147,49.328995,8.5655095,172.1716235,0.351,8.396
15.856,575219247,49.3289953,8.5655097,172.2262214,0.326,8.331
15.956,575219347,49.3289955,8.56551,172.2678002,0.314,8.272
16.056,575219447,49.3289959,8.56551,172.2522605,0.325,8.212
16.156,575219547,49.3289962,8.5655101,172.2263248,0.32,8.158
16.256,575219647,49.3289963,8.5655105,172.1793477,0.312,8.103
16.356,575219747,49.3289963,8.5655108,172.154581,0.309,8.047
16.456,575219847,49.3289964,8.5655111,172.1224052,0.301,7.997
16.556,575219948,49.3289964,8.5655113,172.0777055,0.296,7.946
16.656,575220049,49.3289965,8.5655112,172.017506,0.298,7.895
16.756,575220149,49.3289968,8.5655111,171.9823679,0.294,7.844
16.856,575220249,49.3289968,8.5655113,171.9521512,0.279,7.799
16.956,575220349,49.3289965,8.5655116,171.8980312,0.27,7.754
17.056,575220449,49.3289966,8.5655116,171.8705512,0.269,7.709
17.156,575220549,49.3289966,8.5655117,171.7854671,0.266,7.664
17.256,575220649,49.3289967,8.5655118,171.6685872,0.279,7.619
17.356,575220749,49.3289967,8.565512,171.6090628,0.273,7.58
17.456,575220849,49.3289964,8.5655123,171.5844014,0.256,7.54
17.556,575220949,49.3289964,8.5655123,171.5643853,0.251,7.5
17.656,575221049,49.3289965,8.5655125,171.5422639,0.247,7.46
17.756,575221149,49.3289966,8.5655128,171.5239786,0.251,7.42
17.856,575221249,49.3289966,8.5655132,171.5298773,0.243,7.38
17.956,575221349,49.3289967,8.5655134,171.5605568,0.241,7.34
18.056,575221449,49.3289969,8.5655134,171.573411,0.243,7.3
18.156,575221549,49.3289972,8.5655135,171.5806145,0.233,7.26
18.256,575221649,49.3289973,8.5655136,171.5969926,0.23,7.22
18.356,575221749,49.3289974,8.5655138,171.6029474,0.231,7.18
18.456,575221849,49.3289974,8.5655138,171.6141849,0.221,7.14
18.556,575221949,49.3289975,8.5655135,171.5458479,0.244,7.099
18.656,575222049,49.3289975,8.5655133,171.4615142,0.264,7.064
18.756,575222149,49.3289975,8.5655135,171.4374458,0.246,7.029
18.856,575222249,49.3289976,8.5655135,171.4093612,0.257,6.994
18.956,575222349,49.3289977,8.5655133,171.3982831,0.277,6.967
19.056,575222449,49.3289978,8.5655134,171.3646884,0.267,6.932
19.156,575222549,49.3289978,8.5655135,171.3209017,0.27,6.895
19.256,575222649,49.3289978,8.5655135,171.2956351,0.27,6.865
19.356,575222749,49.3289978,8.5655135,171.2846167,0.258,6.835
19.456,575222849,49.3289979,8.5655135,171.2501996,0.264,6.805
19.556,575222949,49.328998,8.5655134,171.2034893,0.277,6.775
19.656,575223049,49.3289982,8.5655135,171.1911397,0.291,6.745
19.756,575223149,49.3289983,8.5655136,171.1834525,0.283,6.714
19.856,575223249,49.3289982,8.5655136,171.1902209,0.262,6.689
19.956,575223349,49.3289981,8.5655137,171.1805121,0.248,6.665
20.056,575223449,49.3289979,8.5655137,171.1080429,0.242,6.635
20.156,575223549,49.3289977,8.5655136,171.0166156,0.238,6.604
20.256,575223649,49.3289973,8.5655136,170.9457122,0.227,6.579
20.356,575223749,49.3289969,8.5655135,170.8581231,0.221,6.554
20.456,575223849,49.3289966,8.5655137,170.7712622,0.223,6.529
20.556,575223949,49.3289964,8.565514,170.7196732,0.232,6.504
20.656,575224049,49.3289962,8.5655141,170.6699607,0.225,6.479
20.756,575224149,49.3289962,8.5655143,170.593144,0.221,6.454
20.856,575224249,49.3289961,8.5655145,170.5262455,0.225,6.429
20.956,575224349,49.328996,8.5655148,170.4602369,0.221,6.405
21.056,575224449,49.3289958,8.5655149,170.3923007,0.22,6.375
21.156,575224549,49.3289958,8.5655152,170.3635012,0.208,6.351
21.256,575224649,49.3289956,8.5655154,170.3178473,0.208,6.327
