time, itow, lat, lon, alt, speed, accuracy
18.673,574793408,49.3290922,8.5657312,182.2286703,0.195,9.474
18.773,574793508,49.3290921,8.5657298,182.2253259,0.201,9.393
18.873,574793608,49.3290922,8.5657281,182.2316726,0.214,9.304
18.973,574793708,49.3290925,8.5657264,182.2496214,0.205,9.224
19.073,574793807,49.3290919,8.5657237,182.3471477,0.204,9.143
19.173,574793908,49.3290912,8.5657215,182.4416938,0.212,9.053
19.273,574794018,49.3290905,8.5657192,182.5697183,0.215,8.965
19.373,574794118,49.3290893,8.5657173,182.6430757,0.213,8.887
19.473,574794218,49.3290883,8.5657157,182.7076024,0.205,8.817
19.573,574794318,49.3290875,8.5657135,182.7579507,0.217,8.747
19.673,574794418,49.3290868,8.5657116,182.7803191,0.22,8.677
19.773,574794518,49.3290862,8.5657098,182.8039187,0.244,8.608
19.873,574794618,49.3290857,8.5657078,182.8506509,0.229,8.546
19.973,574794718,49.3290851,8.5657058,182.8600235,0.228,8.48
20.073,574794818,49.3290846,8.5657039,182.88104,0.235,8.429
20.173,574794917,49.3290839,8.5657024,182.9121962,0.235,8.37
20.273,574795008,49.3290831,8.5657008,182.9386448,0.243,8.316
20.373,574795108,49.3290822,8.5656997,182.9577915,0.224,8.266
20.473,574795208,49.3290815,8.5656983,182.9718741,0.235,8.216
20.573,574795308,49.3290806,8.5656974,182.9910777,0.216,8.166
20.673,574795408,49.3290799,8.5656961,182.9813774,0.236,8.116
20.773,574795508,49.3290793,8.565696,183.0004152,0.242,8.066
20.873,574795608,49.3290792,8.5656959,183.0609733,0.225,8.027
20.973,574795708,49.3290793,8.5656958,183.1349895,0.234,7.987
21.073,574795808,49.329079,8.5656957,183.1658226,0.226,7.947
21.173,574795908,49.3290786,8.5656954,183.3163727,0.245,7.907
21.273,574796008,49.3290782,8.5656952,183.3700537,0.222,7.867
21.373,574796108,49.3290777,8.5656949,183.3993894,0.221,7.827
21.473,574796208,49.3290771,8.5656944,183.4133079,0.225,7.787
21.573,574796308,49.3290763,8.5656935,183.3574927,0.209,7.747
21.673,574796408,49.3290755,8.5656928,183.3001296,0.212,7.707
21.773,574796508,49.3290746,8.565692,183.2416878,0.214,7.667
21.873,574796608,49.3290739,8.5656912,183.2233258,0.212,7.626
