time, itow, lat, lon, alt, speed, accuracy
305.059,21408098,49.3265629,8.5648459,303.0015355,0.861,480.02
305.159,21408233,49.3265633,8.5648469,303.0828288,0.327,555.425
305.259,21408329,49.3265652,8.564848,303.1112211,0.339,460.607
305.359,21408430,49.3265675,8.5648493,303.1065884,0.307,403.159
305.459,21408530,49.3265681,8.5648496,303.0963421,0.243,373.685
305.559,21408630,49.3265665,8.5648488,303.1234243,0.189,353.275
305.659,21408730,49.3265653,8.5648484,303.0509513,0.063,338.95
305.759,21408830,49.326564,8.5648481,302.9668252,0.086,328.013
305.859,21408931,49.326562,8.5648473,302.9964836,0.06,319.403
305.959,21409029,49.3265596,8.564846,302.9837125,0.048,312.532
306.059,21409129,49.3265575,8.564845,303.0430464,0.042,306.831
306.159,21409230,49.3265545,8.5648433,303.0878053,0.05,301.974
306.259,21409331,49.326551,8.5648416,302.9983727,0.07,297.86
306.359,21409429,49.3265478,8.56484,302.9433375,0.072,294.359
306.459,21409531,49.3265458,8.5648391,302.9432104,0.058,291.188
306.559,21409631,49.3265447,8.5648387,302.9738377,0.061,288.491
306.659,21409731,49.3265436,8.5648381,302.9834863,0.052,286.508
306.759,21409831,49.3265437,8.5648382,302.9653388,0.066,284.971
306.859,21409931,49.3265436,8.5648382,302.9803943,0.058,283.613
306.959,21410031,49.3265429,8.5648378,302.994149,0.011,282.353
307.059,21410129,49.3265429,8.5648378,302.9156194,0.048,281.225
307.159,21410230,49.3265425,8.5648376,302.8764618,0.052,280.159
307.259,21410332,49.326542,8.5648373,302.9089708,0.037,279.19
307.359,21410432,49.3265424,8.5648373,302.8462465,0.082,278.316
307.459,21410532,49.326543,8.5648377,302.81728,0.139,277.498
307.559,21410632,49.326543,8.5648375,302.832962,0.106,276.744
307.659,21410732,49.326543,8.5648373,302.7935628,0.113,276.026
307.759,21410832,49.326543,8.5648372,302.7682267,0.16,275.414
307.859,21410926,49.3265431,8.5648373,302.8287035,0.143,274.942
307.959,21411022,49.326543,8.5648371,302.8484586,0.146,274.392
308.059,21411126,49.326543,8.564837,302.8200731,0.14,273.826
308.159,21411222,49.3265432,8.5648369,302.7818038,0.133,273.337
308.259,21411330,49.3265429,8.5648366,302.7529615,0.137,272.824
308.359,21411430,49.3265427,8.5648364,302.7751176,0.139,272.377
308.459,21411533,49.3262952,8.5647739,318.3138067,-0.347,275.751
308.559,21411629,49.327023,8.5649568,272.6245811,1.004,264.177
308.659,21411718,49.3293134,8.5655325,128.8499122,4.32,221.145
308.759,21411818,49.3292987,8.5655292,129.8951429,1.48,189.092
308.859,21411918,49.3292959,8.5655307,130.5208159,2.628,169.637
308.959,21412018,49.3292829,8.5655284,131.5229724,2.493,140.269
309.059,21412118,49.329261,8.5655227,132.8777776,0.713,114.015
309.159,21412218,49.3292419,8.5655184,134.3111275,0.42,105.53
309.259,21412318,49.3292278,8.5655156,135.3825638,0.418,98.871
309.359,21412418,49.3292096,8.5655112,136.6465745,0.268,93.397
309.459,21412518,49.3291939,8.5655079,137.7611872,0.291,88.822
309.559,21412618,49.329185,8.5655066,138.4814611,0.25,84.701
309.659,21412718,49.329178,8.565505,138.9734224,0.27,81.295
309.759,21412818,49.3291715,8.5655035,139.3929347,0.276,78.298
309.859,21412918,49.3291677,8.565503,139.6524337,0.228,75.574
309.959,21413018,49.3291655,8.5655026,139.7694276,0.199,73.237
310.059,21413118,49.3291636,8.5655019,139.8582203,0.172,71.12
310.159,21413218,49.3291584,8.5655006,140.2092329,0.2,69.155
310.259,21413318,49.3291484,8.5654979,140.8362424,0.14,67.099
310.359,21413418,49.3291318,8.5654933,141.8700041,0.136,63.918
310.459,21413518,49.3291184,8.5654901,142.7098625,0.115,61.285
310.559,21413618,49.3291095,8.5654878,143.2381488,0.098,58.95
310.659,21413718,49.3291025,8.5654854,143.6030693,0.091,56.872
310.759,21413818,49.3290968,8.5654833,143.8497038,0.072,55.324
310.859,21413918,49.3290929,8.5654822,143.9547229,0.119,53.695
310.959,21414018,49.3290928,8.5654823,143.848791,0.069,52.203
311.059,21414118,49.3290968,8.5654839,143.5503555,0.063,50.82
311.159,21414218,49.3290962,8.5654816,143.3608254,0.076,49.56
311.259,21414318,49.3290948,8.5654808,143.3770122,0.154,48.85
311.359,21414418,49.3290939,8.5654821,143.4721029,0.126,48.05
311.459,21414518,49.3290913,8.5654798,143.5763223,0.09,46.508
311.559,21414618,49.3290925,8.5654813,143.6332754,0.179,45.266
311.659,21414718,49.329093,8.5654792,143.3746974,0.209,43.823
311.759,21414818,49.3290977,8.5654786,143.0362965,0.117,41.976
311.859,21414918,49.3291036,8.5654776,142.5469176,0.142,40.874
311.959,21415018,49.3291093,8.5654827,142.371994,0.182,39.936
312.059,21415118,49.3291132,8.5654857,142.1656659,0.166,39.112
312.159,21415218,49.329118,8.5654851,141.7099709,0.186,38.44
312.259,21415318,49.3291227,8.565482,141.1041993,0.121,37.675
312.359,21415418,49.3291284,8.5654833,140.699573,0.144,37.016
312.459,21415518,49.3291314,8.5654805,140.2746201,0.15,36.439
312.559,21415618,49.3291297,8.565474,139.9925184,0.119,35.844
312.659,21415718,49.3291248,8.5654672,139.9073082,0.154,35.056
312.759,21415818,49.3291213,8.565462,139.8935926,0.178,34.499
312.859,21415918,49.32912,8.5654609,140.0301631,0.193,34.06
312.959,21416018,49.3291218,8.5654644,140.1976908,0.113,33.637
313.059,21416118,49.3291245,8.5654669,140.2376859,0.118,33.257
313.159,21416218,49.3291271,8.5654688,140.2199414,0.123,32.921
313.259,21416318,49.3291296,8.5654702,140.112589,0.121,32.628
313.359,21416418,49.3291308,8.5654672,139.8112562,0.137,32.274
313.459,21416518,49.3291333,8.5654707,139.8179217,0.143,31.699
313.559,21416618,49.3291344,8.56547,139.6391994,0.136,31.473
313.659,21416718,49.3291354,8.5654673,139.3902326,0.146,31.39
313.759,21416818,49.3291361,8.5654661,139.2334487,0.139,31.171
313.859,21416918,49.3291379,8.5654689,139.2683728,0.136,30.984
313.959,21417018,49.3291389,8.565471,139.2616386,0.101,30.865
314.059,21417118,49.3291381,8.5654613,138.7350812,0.098,30.706
314.159,21417218,49.3291379,8.565459,138.5748522,0.095,30.564
314.259,21417318,49.3291376,8.5654572,138.4434646,0.123,30.426
314.359,21417418,49.3291367,8.5654556,138.3646728,0.166,30.331
314.459,21417518,49.3291357,8.5654538,138.2337262,0.12,30.205
314.559,21417618,49.3291358,8.5654523,138.0967491,0.129,30.079
314.659,21417718,49.3291364,8.5654516,137.9757389,0.139,29.97
314.759,21417818,49.3291363,8.565448,137.7170534,0.133,29.875
314.859,21417918,49.3291359,8.565442,137.3368864,0.15,29.804
314.959,21418018,49.3291358,8.5654389,137.1386018,0.182,29.714
315.059,21418118,49.3291351,8.5654379,137.0780757,0.169,29.622
315.159,21418218,49.3291352,8.5654386,137.1004514,0.209,29.536
315.259,21418318,49.3291357,8.5654429,137.2637994,0.202,29.591
315.359,21418418,49.3291371,8.5654443,137.2343095,0.213,29.925
315.459,21418518,49.3291381,8.5654407,136.9511593,0.224,29.778
315.559,21418618,49.3291391,8.5654405,136.8405158,0.199,29.627
315.659,21418718,49.3291401,8.5654436,136.9426688,0.198,29.699
315.759,21418818,49.3291412,8.5654472,137.078016,0.178,29.507
315.859,21418918,49.3291416,8.5654478,137.1071688,0.151,29.511
315.959,21419018,49.3291416,8.5654477,137.1225903,0.114,29.382
316.059,21419118,49.329142,8.5654482,137.1574429,0.115,28.809
316.159,21419218,49.3291417,8.5654466,137.115223,0.06,28.749
316.259,21419318,49.3291414,8.5654481,137.2709839,0.076,28.689
316.359,21419418,49.3291413,8.5654497,137.4155965,0.138,28.629
316.459,21419518,49.3291404,8.5654466,137.3177075,0.089,28.566
316.559,21419618,49.3291394,8.5654441,137.2666195,0.033,28.5
316.659,21419718,49.3291396,8.5654425,137.2575922,0.112,28.425
316.759,21419818,49.3291406,8.5654381,137.0271565,0.107,28.281
316.859,21419918,49.3291412,8.5654364,136.9595782,0.056,28.253
316.959,21420018,49.3291421,8.5654332,136.760089,0.056,28.298
317.059,21420118,49.3291432,8.5654326,136.7278466,0.089,28.219
317.159,21420218,49.3291441,8.565431,136.6697338,0.071,28.159
317.259,21420318,49.3291454,8.5654317,136.7544189,0.123,28.095
317.359,21420418,49.3291458,8.5654318,136.8961907,0.137,28.031
317.459,21420518,49.3291458,8.5654329,137.0692665,0.256,27.988
317.559,21420618,49.3291458,8.5654379,137.5015038,0.302,27.945
317.659,21420718,49.329146,8.5654396,137.6706084,0.393,27.93
317.759,21420818,49.3291454,8.5654403,137.8441245,0.359,27.882
317.859,21420918,49.3291452,8.5654402,137.9959967,0.403,27.83
317.959,21421018,49.3291448,8.5654409,138.2349175,0.364,27.749
318.059,21421118,49.3291443,8.5654425,138.4943246,0.33,27.703
318.159,21421218,49.3291436,8.5654407,138.5313131,0.296,27.601
318.259,21421318,49.3291432,8.5654411,138.6941735,0.25,27.5
318.359,21421418,49.3291433,8.5654404,138.7233212,0.249,27.453
318.459,21421518,49.329143,8.5654413,138.8509607,0.205,27.449
318.559,21421618,49.3291429,8.5654437,139.0784973,0.188,27.489
318.659,21421718,49.3291426,8.5654443,139.1767257,0.178,27.433
318.759,21421818,49.3291423,8.5654432,139.1603219,0.17,27.393
318.859,21421918,49.3291419,8.5654416,139.1623977,0.176,27.302
318.959,21422018,49.3291414,8.565441,139.2548848,0.192,27.098
319.059,21422118,49.329141,8.565443,139.4568836,0.197,27.121
319.159,21422218,49.3291403,8.5654483,139.9228598,0.203,27.237
319.259,21422318,49.3291394,8.5654504,140.1948778,0.21,27.186
319.359,21422418,49.3291383,8.5654521,140.4493078,0.196,27.152
319.459,21422518,49.3291372,8.5654494,140.40548,0.184,27.1
319.559,21422618,49.3291361,8.5654477,140.420186,0.191,27.053
319.659,21422718,49.3291351,8.5654481,140.5940642,0.185,27.022
319.759,21422818,49.329134,8.5654486,140.8030698,0.179,26.984
319.859,21422918,49.3291326,8.5654502,141.0700634,0.21,26.993
319.959,21423018,49.3291314,8.5654485,141.1355916,0.245,27.086
320.059,21423118,49.3291308,8.5654483,141.2669443,0.223,27.047
